cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Type IA spiral ganglion neuron,Asap2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Asap3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Asb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Asb13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Asb8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Progenitor cell,Ascl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ascl2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Asl,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
O cell,Aspa,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Aspa,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Asphd2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Aspn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Ass1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ass1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Astn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atf4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atf6b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atg101,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atg16l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Atg16l2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atg2b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atg4d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atm,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Atp11a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atp13a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Atp13a4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Atp13a5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Atp1a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Quiescent neural stem cell,Atp1a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Atp1a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Atp1a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Atp1b1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Atp1b2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atp2b3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Atp2b4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Atp2b4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atp6v1g2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atp8b2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atxn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atxn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Atxn7l3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,AU022252,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Auh,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Auts2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Avpi1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Azi2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Azin1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
